unique_name	Home_car_KC05BgC-1	Home_car_KC05T2C-1	Home_car_KC05T3C-1	Home_car_KC06BgP-1	Home_car_KC06T1P-1	Home_car_KC06T2P-1	Home_car_KC06T3P-1	Home_car_KCT0C-1	Home_car_KCT0P-1	Home_car_KT05BgC-1	Home_car_KT05T2C-1	Home_car_SMM-2-3	Home_car_SY-41	Home_car_WJM-I	Home_car_WX-9	Home_car_Y-SB-1	Home_car_Y-SC-1	Underarm_1	Underarm_10	Underarm_11	Underarm_12	Underarm_13	Underarm_14	Underarm_15	Underarm_16	Underarm_17	Underarm_18	Underarm_19	Underarm_2	Underarm_20	Underarm_3	Underarm_4	Underarm_5	Underarm_6	Underarm_7	Underarm_8	Underarm_9
Cutaneotrichosporon_oleaginosum	0	0	0	0	0	0	0	0	0	1.800562805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pyricularia_oryzae	0	0	0	1.774539352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Talaromyces_atroroseus	1.773349839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phaeoacremonium_minimum	0	0	0	1.182216068	0	1.454099946	1.183728719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bipolaris_oryzae	0	0	0	1.611401845	0	0	0	0	0	0	0	0	0	0	0	1.19323112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aspergillus_clavatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.74179788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ogataea_polymorpha	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.738084278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exophiala_dermatitidis	0	0	0	1.637280543	0	0	0	0	0	0	0	0	0	0	0	1.004788893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aspergillus_uvarum	0	0	0	0	0	1.701652393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gloeophyllum_trabeum	1.557433496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.882590906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aspergillus_thermomutatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.595847685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Malassezia_pachydermatis	0	0	0	0	0	0	0	0	0	1.581567784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aspergillus_terreus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.528408215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fusarium_venenatum	0	0	0	1.515979359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermothelomyces_thermophilus	0	0	0	1.487175802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tilletiopsis_washingtonensis	1.199528822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.163934482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stereum_hirsutum	1.44965703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apiotrichum_porosum	0	0	0	0	0	0	0	0	0	1.439352222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aspergillus_nomius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.437866737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aspergillus_heteromorphus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.430710677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aspergillus_mulundensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.425999899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
